FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
P1.java,U2.java,2.2222,4.3478,0.0000,2.1900,0
P1.java,P7.java,1.6393,3.2258,0.0000,1.6217,0
P1.java,P10.java,1.5385,3.0303,0.0000,1.5229,0
P1.java,P2.java,2.3256,4.5455,0.0000,2.2903,0
P1.java,O10.java,2.1739,4.2553,0.0000,2.1431,0
P1.java,P8.java,2.8571,5.5556,0.0000,2.8042,0
P1.java,P5.java,1.6129,3.1746,0.0000,1.5958,0
P1.java,U4.java,5.0000,9.5238,0.0000,4.8413,0
P1.java,U8.java,3.4483,6.6667,0.0000,3.3716,0
P1.java,U1.java,2.1277,4.1667,0.0000,2.0981,0
P1.java,U3.java,1.0870,2.1505,0.0000,1.0792,0
P1.java,U9.java,1.6129,3.1746,0.0000,1.5958,0
P1.java,O7.java,2.1739,4.2553,0.0000,2.1431,0
P1.java,O4.java,0.9709,1.9231,0.0000,0.9647,0
P1.java,U10.java,3.2258,6.2500,0.0000,3.1586,0
P1.java,01.java,4.5455,8.6957,0.0000,4.4137,0
P1.java,O8.java,1.4085,2.7778,0.0000,1.3954,0
P1.java,P9.java,4.0000,7.6923,0.0000,3.8974,0
P1.java,P6.java,2.0408,4.0000,0.0000,2.0136,0
P1.java,02.java,3.3333,6.4516,0.0000,3.2616,0
P1.java,O5.java,2.7778,5.4054,0.0000,2.7277,0
P1.java,P3.java,1.9608,3.8462,0.0000,1.9356,0
P1.java,U6.java,4.1667,8.0000,0.0000,4.0556,0
U7.java,U5.java,34.8837,51.7241,98.6928,61.7669,0
U7.java,09.java,48.3333,65.1685,94.7241,69.4087,0
U7.java,U2.java,66.6667,80.0000,98.6303,81.7657,0
U7.java,P7.java,47.6923,62.5000,99.3411,69.8445,0
U7.java,P10.java,44.9275,60.0000,97.9326,67.6200,0
U7.java,P2.java,65.9574,76.9231,99.6574,80.8460,0
U7.java,O10.java,55.7692,66.6667,96.8809,73.1056,0
U7.java,P8.java,48.9362,62.8571,99.4100,70.4011,0
U7.java,P5.java,46.9697,57.7320,93.4054,66.0357,0
U7.java,U4.java,37.5000,54.5455,96.3529,62.7995,0
U7.java,U8.java,42.2222,59.3750,95.4314,65.6762,0
U7.java,U1.java,70.8333,82.9268,99.0934,84.2845,0
U7.java,U3.java,36.5591,53.5433,98.8126,62.9717,0
U7.java,U9.java,51.5625,68.0412,97.7825,72.4621,0
U7.java,O7.java,62.0000,74.0741,99.6574,78.5772,0
U7.java,O4.java,32.6923,47.8261,97.0804,59.1996,0
U7.java,U10.java,53.4884,66.6667,98.6928,72.9493,0
U7.java,01.java,54.0541,66.6667,98.3135,73.0114,0
U7.java,O8.java,45.2055,62.2642,97.9810,68.4836,0
U7.java,P9.java,42.8571,56.6667,98.6928,66.0722,0
